Asset Number,Device Status,Device Type,Manufacturer,Model Number,Model Name,Operating System,Serial Number,Device Procurement,Start Date,End Date,Additional Information,Assigned User's ID,Assigned User's Email,Assigned Date,Unassigned Date,TextCustomField,NumberCustomField,DateCustomFiled,PriceCustomFiled
CUNxDPqR6u,In-use,laptop,dell,du7ZswG8QB,dell-model,windows,xtadrbtfv1,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,zj2w0sTB4n,10,2024-06-25,10
jLjHj1O9P3,In-use,laptop,dell,BAcSKMkkTW,dell-model,windows,3a2iwEN2pk,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,moMPWDJ4Et,10,2024-06-25,10
sDXeIQfU2l,In-use,laptop,dell,kNIrMC94G7,dell-model,windows,uNqSfR6qMt,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,oIO3adEvkR,10,2024-06-25,10
MWYKXLIRsL,In-use,laptop,dell,jRJpWOCmtI,dell-model,windows,QtvKDuiojM,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rp1x1qCT88,10,2024-06-25,10
PYJ6vJVmN8,In-use,laptop,dell,p66O5DaEDL,dell-model,windows,cmLZgcshkJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rFSdQMjor5,10,2024-06-25,10
F42zjeSbUQ,In-use,laptop,dell,POQmFLxVGI,dell-model,windows,qu6HJUUPQt,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,l9xIVL5YjW,10,2024-06-25,10
zfDoGk4AWl,In-use,laptop,dell,q1rYSx7DDg,dell-model,windows,r2yiIqEUDb,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,jHj9REacvY,10,2024-06-25,10
gAWSxsltUq,In-use,laptop,dell,sozEXZiBlD,dell-model,windows,KjJvAarVGV,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BIet2EeGIs,10,2024-06-25,10
7iPdm92IF1,In-use,laptop,dell,NH2a7FFg2u,dell-model,windows,ZtI9ZEYChW,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,SnrI20RtvI,10,2024-06-25,10
F9UuUdJvhu,In-use,laptop,dell,O7XXE413sa,dell-model,windows,UpkmDghKwm,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,d2TZ7wjt4D,10,2024-06-25,10
K8Zs1W9gjb,In-use,laptop,dell,k7eUJeBhPs,dell-model,windows,4Q2g7QL1Eu,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,or3YobQpTv,10,2024-06-25,10
WGOg41Z99u,In-use,laptop,dell,kgo3WRz9yD,dell-model,windows,Y12UuQfBiT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,dolS45sjge,10,2024-06-25,10
LbOPVojGTM,In-use,laptop,dell,TkfsZjM4dx,dell-model,windows,CNoziCeqbG,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,lK4PcEIbKu,10,2024-06-25,10
OyJewODgYe,In-use,laptop,dell,6Pt3Fmp8oa,dell-model,windows,l8Un18auC4,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Dm9qnQQ8Q0,10,2024-06-25,10
19FN7z2MFy,In-use,laptop,dell,PRzYDRNd8a,dell-model,windows,V5KQMLSMzd,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,5WHgX3NyG4,10,2024-06-25,10
aACGFQqPHR,In-use,laptop,dell,lLuppMYaRr,dell-model,windows,vJ6e57naw9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,aTlx3WGxDM,10,2024-06-25,10
pkA0Ini42C,In-use,laptop,dell,b2BAiWi5NR,dell-model,windows,rrklHLRsk3,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,CGf7jAUWcq,10,2024-06-25,10
rxmGFGHm3F,In-use,laptop,dell,8BNRXJ4wMd,dell-model,windows,17hJk5YMZ6,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xqkg79ELW3,10,2024-06-25,10
59j8ybdavU,In-use,laptop,dell,68QRhrPhak,dell-model,windows,CqgPaA98H9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,zosGjEVvzx,10,2024-06-25,10
BAPPhoc50Z,In-use,laptop,dell,xCIu9By3Ys,dell-model,windows,E0RTQrHjbz,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Q7EhCxCbgI,10,2024-06-25,10
L8E9QBmEEB,In-use,laptop,dell,v6QGZZDJCq,dell-model,windows,i4gvPeTjFs,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,fCelYkDqpX,10,2024-06-25,10
xyfe7U04yQ,In-use,laptop,dell,kpyVrlbMhC,dell-model,windows,PHKIiKh9tp,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,O0hDGGFEhS,10,2024-06-25,10
EdD2279qFJ,In-use,laptop,dell,VNpffYPuHJ,dell-model,windows,zcTQhRBeeC,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,GfQJxo2PRl,10,2024-06-25,10
P0i8qAFWAx,In-use,laptop,dell,p1ShYlEm72,dell-model,windows,X9c7Ej15Ro,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Jwj5TJd0fI,10,2024-06-25,10
k0MS50iiYM,In-use,laptop,dell,fFnUlaMXqa,dell-model,windows,DEypvsxiJA,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,z2Wn9bkDs2,10,2024-06-25,10
sjM3yksxx4,In-use,laptop,dell,ZkeeXwSIjT,dell-model,windows,m75j5de1cF,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xxX35X8nkR,10,2024-06-25,10
TWRff6Plqy,In-use,laptop,dell,MhbxTGAy5n,dell-model,windows,izLNj3WBOR,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,tUjbjr8bOS,10,2024-06-25,10
pOtHKmG4GY,In-use,laptop,dell,os8twBN7fb,dell-model,windows,PjiX9Pyloo,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wVWsNlts1S,10,2024-06-25,10
WXgdD03skC,In-use,laptop,dell,sc562tTzdH,dell-model,windows,8CQaspKF1B,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,slpaoibA5G,10,2024-06-25,10
RhO9tyie7M,In-use,laptop,dell,2a3vW8Spl7,dell-model,windows,xpDwYzDUEn,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,5lbBZh9r0H,10,2024-06-25,10
EEvu7xZ5tH,In-use,laptop,dell,KNeVU8HOnp,dell-model,windows,3VFYLxIqDF,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,tvowd3yt3Y,10,2024-06-25,10
Fh2dyEdfJA,In-use,laptop,dell,ZxsQBtlns7,dell-model,windows,AIodMNj79M,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,dSJTwnSbfp,10,2024-06-25,10
wwK9KdvWxk,In-use,laptop,dell,FZ7Qz1HtBe,dell-model,windows,Pwy0h9ctSY,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,heeyOzKzPs,10,2024-06-25,10
RFGe8QInuO,In-use,laptop,dell,k0gtpl4KYQ,dell-model,windows,mtmDCwgAdI,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yFV4yLC4Hx,10,2024-06-25,10
rt1gQ4LMsG,In-use,laptop,dell,MbrsNVklKj,dell-model,windows,cFPSXUXmxs,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,9j8LmKRNsy,10,2024-06-25,10
jwUDGMV6HR,In-use,laptop,dell,e9fcy9YVIX,dell-model,windows,gPtzitrCQO,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,JjYL6s5zWT,10,2024-06-25,10
nLAEvWpQU0,In-use,laptop,dell,hywYMyWQBi,dell-model,windows,dMKFHW1666,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,X8YYgSi0GS,10,2024-06-25,10
9Jx0tWxNKI,In-use,laptop,dell,Ar1kXulLeE,dell-model,windows,WAGvrV6DuB,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cI6H8gPl5A,10,2024-06-25,10
XvhGDNB9uE,In-use,laptop,dell,gu5h64Nv1c,dell-model,windows,pMiEkHsCKa,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,sWN1bKsDFC,10,2024-06-25,10
azwTaPFYRk,In-use,laptop,dell,ohLbVEzSde,dell-model,windows,Tp0LSUiiTA,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,LdoyUeoMGX,10,2024-06-25,10
Aj2Uvvm8gQ,In-use,laptop,dell,n1H1RsWKhL,dell-model,windows,6JegZZTyXb,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,VRV26kCrEB,10,2024-06-25,10
OOPRCDru1l,In-use,laptop,dell,r0NsFa7a1g,dell-model,windows,fZHq3YsUfn,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,EVFCl0XiKT,10,2024-06-25,10
oLCT7fBlgZ,In-use,laptop,dell,JGTHmsiDFt,dell-model,windows,1hRlKe3ZgB,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ISX2hHlHVB,10,2024-06-25,10
OjiZv6Fmto,In-use,laptop,dell,MNC96QFiJY,dell-model,windows,GMbL2TXIWA,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xQF9GOE72V,10,2024-06-25,10
xZiOehBAgJ,In-use,laptop,dell,4obNDikYxt,dell-model,windows,befRRwdvnX,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,qFuY5IMH9c,10,2024-06-25,10
0Qql7PTG8G,In-use,laptop,dell,ikkhkbhSvf,dell-model,windows,dIk6ve3Mra,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,lrdOCdfIRC,10,2024-06-25,10
9yY2KNxdPy,In-use,laptop,dell,63cpm83Lfm,dell-model,windows,v9I5c45Ejk,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,KeisjW36ZW,10,2024-06-25,10
RqA7VRU6dS,In-use,laptop,dell,uyFVTKSSO5,dell-model,windows,txI2zdAt1V,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,OyA3HYjC90,10,2024-06-25,10
EzsPKfSdXk,In-use,laptop,dell,xv2zVvjdCk,dell-model,windows,pMZIGUeBK9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,musfzeyh3H,10,2024-06-25,10
L1eQHWql6Y,In-use,laptop,dell,Cw2IojNgQa,dell-model,windows,oQJp2e90jL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ql8Dhopu9H,10,2024-06-25,10
73w4WxBqjR,In-use,laptop,dell,wWA61Iy7mZ,dell-model,windows,8ZQqm80JYq,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,nKqeljI4WM,10,2024-06-25,10
bJIUpHK7yh,In-use,laptop,dell,gvOUFjPETn,dell-model,windows,x9LZ0aodES,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BtwQ0sIGFy,10,2024-06-25,10
bBgMMm6ugC,In-use,laptop,dell,B2I0sMCKza,dell-model,windows,fILL6OizUc,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,LkSqNWPpOv,10,2024-06-25,10
yKcoZdphzA,In-use,laptop,dell,cOfkquS0Ed,dell-model,windows,LInI86YsPT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,CHS45ejm0i,10,2024-06-25,10
yEcAU82A6n,In-use,laptop,dell,qyKQoTTd3o,dell-model,windows,meHXXaJuVN,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,pcJxSmQgh6,10,2024-06-25,10
QLJXQ8GwnX,In-use,laptop,dell,zdQY6LqOEH,dell-model,windows,uoG0mUPj0U,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,5YhmFBMREC,10,2024-06-25,10
djhi2iymOb,In-use,laptop,dell,RDOFKOKXuk,dell-model,windows,w7nafdmC2i,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,59l633FDUd,10,2024-06-25,10
gZpuqmmJaf,In-use,laptop,dell,3oteeosSx8,dell-model,windows,vnDA6LN7WQ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,b9tZ7rUceb,10,2024-06-25,10
x48h8HlYPc,In-use,laptop,dell,gmovufLVJv,dell-model,windows,8xjLVvUsgT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,lBv0lKkRjQ,10,2024-06-25,10
2kRcuRgZ53,In-use,laptop,dell,uDdcb1pyOo,dell-model,windows,IkHNurCVxJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,g7yCv2YPpP,10,2024-06-25,10
15LMzCfzFr,In-use,laptop,dell,gyZuxziPmu,dell-model,windows,9M86rCmcNH,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Xip15rnGjs,10,2024-06-25,10
JDRoPLSvsX,In-use,laptop,dell,xUNG1HC0jE,dell-model,windows,6PkRz2wpeJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,chTSL3lcmZ,10,2024-06-25,10
SQA4gA6lpz,In-use,laptop,dell,kb1dOwIG5o,dell-model,windows,DZmDgwml5a,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,QoUSzcqspf,10,2024-06-25,10
YRYJerdYkp,In-use,laptop,dell,qYtsswp9rW,dell-model,windows,YJHSsWtrEF,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,WQtODPRUiE,10,2024-06-25,10
RcpZ2eGoqV,In-use,laptop,dell,hP3vTzPbAM,dell-model,windows,vFBkuy9RfW,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,YPpviZlUmn,10,2024-06-25,10
RTLaYwlykT,In-use,laptop,dell,gY958FapWX,dell-model,windows,N9DYd9sdE1,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,m4Gmotuydy,10,2024-06-25,10
J2GwkSNbc4,In-use,laptop,dell,gtUggXTbXL,dell-model,windows,xlBoNcCmqU,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,s7QftI2MOs,10,2024-06-25,10
L7bu2r8xSb,In-use,laptop,dell,saGqAygTrD,dell-model,windows,vKMRu1i0YN,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,lAfxJAyjDR,10,2024-06-25,10
YFbfNyVTLt,In-use,laptop,dell,2Foo4Elysz,dell-model,windows,d2Y0vSn1Do,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,jSax7zdT2N,10,2024-06-25,10
qbmiXJcJSz,In-use,laptop,dell,X9th0cCIK2,dell-model,windows,bOs8QB7oSz,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,va8gF2fEkV,10,2024-06-25,10
CYlPRCyAJP,In-use,laptop,dell,xSPpMhZukM,dell-model,windows,L89dZgKW1t,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,hiFLiDqjq1,10,2024-06-25,10
mMz2zLOGtV,In-use,laptop,dell,m9L2PfFMYw,dell-model,windows,47ARQi6XLv,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,io3NVPhmR0,10,2024-06-25,10
OKEx7bHFNM,In-use,laptop,dell,dC6HhtW7WC,dell-model,windows,skJfBPShnC,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,vtRRO3gGXt,10,2024-06-25,10
PZL3rKkBSC,In-use,laptop,dell,ZZpcCeAWn4,dell-model,windows,HYD2woAeQh,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,vFGFlkkokY,10,2024-06-25,10
k5AIcNC5Jz,In-use,laptop,dell,0y9cXcTZfA,dell-model,windows,vWQaZ94bVn,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,UInrqS9Iwj,10,2024-06-25,10
Rds9ez1Xwz,In-use,laptop,dell,45YFsdruX4,dell-model,windows,wnz8as5yXj,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,I3id25FGPm,10,2024-06-25,10
NE6mvhbgjV,In-use,laptop,dell,cn9LZ9gQzl,dell-model,windows,yQ6pKtvluN,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,5RA7Ri40mb,10,2024-06-25,10
UEnR9v41yY,In-use,laptop,dell,vIIavL2pdG,dell-model,windows,9i4MXPbbiN,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,HTKLK24LLB,10,2024-06-25,10
JOl5QT9Gaq,In-use,laptop,dell,8uQ5pcrRZF,dell-model,windows,xM0J3UDdFw,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,A5mnZ9Wbgj,10,2024-06-25,10
yRogDYtoMn,In-use,laptop,dell,1sBKTKlRLB,dell-model,windows,keQdvy1psl,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,B3Af6e8vZw,10,2024-06-25,10
5CfSJNWbNC,In-use,laptop,dell,VUFD3Xdv65,dell-model,windows,3SpMEz9f0V,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,y7kRnI5mtQ,10,2024-06-25,10
bQhXXg7G9z,In-use,laptop,dell,OgQ058Gdb5,dell-model,windows,Zf0qGdfaiC,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,tc9sT5n1jb,10,2024-06-25,10
ph3p4hkYlg,In-use,laptop,dell,oUBwnFElCb,dell-model,windows,gAV490m7DF,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,OVPd10V6Hh,10,2024-06-25,10
lmy69TbqNi,In-use,laptop,dell,iE9rABMFaK,dell-model,windows,gjd84EvgwI,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,vims7yQ5fJ,10,2024-06-25,10
5tM88B75H3,In-use,laptop,dell,q2u0rarGuG,dell-model,windows,oCr0q8FUtK,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,VetYqjQcFm,10,2024-06-25,10
GohMtiGV89,In-use,laptop,dell,JK5YuM5Vnz,dell-model,windows,6wtF0XduCR,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BgLHiLtofA,10,2024-06-25,10
V7T9GXSJ6g,In-use,laptop,dell,Mhy3BTnxWX,dell-model,windows,rrq7AxM5rH,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,18mMPWgZpn,10,2024-06-25,10
6NNfTDP0Yc,In-use,laptop,dell,Sx8NYFKAyb,dell-model,windows,GZMpiG6Vqh,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,bKV3kKABio,10,2024-06-25,10
jGmIerHvnn,In-use,laptop,dell,XtxGMC31cH,dell-model,windows,Z2rFSc4aM9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,n0mLRG9hpD,10,2024-06-25,10
WiAnlLwYEL,In-use,laptop,dell,Ao87l0PafJ,dell-model,windows,pGMQG64cd4,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BxoSckj7Ia,10,2024-06-25,10
9UeAFhYUbj,In-use,laptop,dell,EgJA1CH8lK,dell-model,windows,zpawuZo1Kq,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rbLiah370g,10,2024-06-25,10
soDZd3PJQE,In-use,laptop,dell,VLy0lkvthF,dell-model,windows,2WvTCHsf8R,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yNyXV4bksi,10,2024-06-25,10
SLbB7ExaMf,In-use,laptop,dell,d6LuhOZkCY,dell-model,windows,VJcbUNT5Xp,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,FgXdC3p6nx,10,2024-06-25,10
XMi2Db08XF,In-use,laptop,dell,lCeI8hfpGC,dell-model,windows,574HdISkKJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cSiVsMNPyk,10,2024-06-25,10
ohk30muXAo,In-use,laptop,dell,YyDoyhCzhG,dell-model,windows,b6bXh5sK91,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,mFjQpbSHpK,10,2024-06-25,10
CHeftGRwwA,In-use,laptop,dell,StsOmSRxmn,dell-model,windows,xkXoE56tJL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,NsofWVeUa2,10,2024-06-25,10
Bpk06w5mzz,In-use,laptop,dell,tHwp0A9Mep,dell-model,windows,vJqGQoZNWT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,oPonn6dw5G,10,2024-06-25,10
Nz6u9QuBSg,In-use,laptop,dell,v9RAlRUUSs,dell-model,windows,A3UFaLcatv,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,VkgK2w3U6l,10,2024-06-25,10
cRUz7JqCpp,In-use,laptop,dell,X3NkAwvXwC,dell-model,windows,mhr0oPjmgr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,my4BAJGraS,10,2024-06-25,10
oPLIJf7RKN,In-use,laptop,dell,naEDGUQj3R,dell-model,windows,nhbNeFogr8,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,A7zooTimtm,10,2024-06-25,10
BBzWDYc1sx,In-use,laptop,dell,I555hwMKEB,dell-model,windows,spzSit5FYC,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,m6XwmVsLyG,10,2024-06-25,10
ArMDo8RPsd,In-use,laptop,dell,dcuOWfbH59,dell-model,windows,fxgDrM0apl,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,IEFR8eywbD,10,2024-06-25,10
vL34luZgKB,In-use,laptop,dell,Ys2jXExAXT,dell-model,windows,TXNlesgRVq,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,U46EV1dMaP,10,2024-06-25,10
PL0k0R3lot,In-use,laptop,dell,Uq9GkZOQbs,dell-model,windows,pQ0ibC0abR,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,NaEsCVvVZN,10,2024-06-25,10
9ZwP3XPfL7,In-use,laptop,dell,eqO3Wm4Ig7,dell-model,windows,bpOn8cbHQJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Vj2OjZYGiE,10,2024-06-25,10
XDamsQCSSI,In-use,laptop,dell,XkGpF6etHb,dell-model,windows,nJVtDRF3H8,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,6n8SGmaidi,10,2024-06-25,10
2obzJpVeAS,In-use,laptop,dell,bLDui5yR1d,dell-model,windows,jdBjWDaxjr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,WdoWRZUjKp,10,2024-06-25,10
NAadfkWDNM,In-use,laptop,dell,29TsCXVzGe,dell-model,windows,CzM9GMAxNP,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,pMBcMNqnDE,10,2024-06-25,10
QU5APXhGIs,In-use,laptop,dell,isLiJEUOBL,dell-model,windows,aES6PfPTFc,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,gTrDle0rSD,10,2024-06-25,10
nmIkAw5qGD,In-use,laptop,dell,p2ef3TUYSj,dell-model,windows,ZJadYPZB0Y,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,pdyO2bn289,10,2024-06-25,10
SxWXdqe4sl,In-use,laptop,dell,VpQyhbv6Jx,dell-model,windows,R2GHcGzuic,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,1C2KZ2VGl0,10,2024-06-25,10
