Asset Number,Device Status,Device Type,Manufacturer,Model Number,Model Name,Operating System,Serial Number,Device Procurement,Start Date,End Date,Additional Information,Assigned User's ID,Assigned User's Email,Assigned Date,Unassigned Date,TextCustomField,NumberCustomField,DateCustomFiled,PriceCustomFiled
lmEw5ZcaPu,In-use,laptop,dell,t5Hgsl4bPS,dell-model,windows,jgyiqDfkMf,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,0FSQ5H8V6r,10,2024-06-25,10
5xfQgLeoXe,In-use,laptop,dell,g0qfG3P8F3,dell-model,windows,8Irmg7FFIe,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,v3mqgtfQB3,10,2024-06-25,10
WWfNqV6zC5,In-use,laptop,dell,XyFnkPMwGU,dell-model,windows,8656QXTncu,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,eEcBiGx55U,10,2024-06-25,10
RwHwVV6yFF,In-use,laptop,dell,dOvZs0gscP,dell-model,windows,qjlU26bzMj,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,mMASWuXl8Y,10,2024-06-25,10
IoozRXoxAY,In-use,laptop,dell,EAJjAZvika,dell-model,windows,FedhOK56K4,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,mTmr62D7Ib,10,2024-06-25,10
i2AFGDfZ4S,In-use,laptop,dell,hzmzem05WH,dell-model,windows,3w8VXT4T7l,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,MOAYrW1Jag,10,2024-06-25,10
wSO59LORK8,In-use,laptop,dell,7unfuVXP19,dell-model,windows,DmqlkTTc94,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,VvTs8FU4Si,10,2024-06-25,10
8Vx9PwhQXO,In-use,laptop,dell,y4HHtYlEB4,dell-model,windows,jXlEhoLQ1d,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,4PBkZ5VBi4,10,2024-06-25,10
WpiyPJnnxv,In-use,laptop,dell,Xg7cY6l3Ir,dell-model,windows,MrLR8GFU7j,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,VItJoWq7Lt,10,2024-06-25,10
BOzLchoYkt,In-use,laptop,dell,oGuXiQ9DMJ,dell-model,windows,kBRwrIjVbn,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Mu9UDsfnbs,10,2024-06-25,10
U3AOxBSoeK,In-use,laptop,dell,zDbPMXX9Pv,dell-model,windows,1qoX8OWzCy,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rvb4LBm75A,10,2024-06-25,10
5QGdOQc3Jb,In-use,laptop,dell,QpQX2niccA,dell-model,windows,OjxZXwPtGm,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BflTVtI7MF,10,2024-06-25,10
kyQ3rpa610,In-use,laptop,dell,oRSwaOTgy6,dell-model,windows,qsZiZ7UOha,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yjjBBSqQ3g,10,2024-06-25,10
PPWDZ9raop,In-use,laptop,dell,OBuqTwzdgb,dell-model,windows,fV4AUUa1PY,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,EyFCYUzAD5,10,2024-06-25,10
LePUBaXgLM,In-use,laptop,dell,KD4Kkv0wrN,dell-model,windows,zdYZu8jTUT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wEsQ0j7Ykz,10,2024-06-25,10
9I8hOqKm1O,In-use,laptop,dell,N1SZDdgYmC,dell-model,windows,eCw3fbat7R,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,FGrlp1zk4X,10,2024-06-25,10
yVunCNp7tt,In-use,laptop,dell,NOsTvGr403,dell-model,windows,0cuusQg8gd,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,AqrPvrtoqn,10,2024-06-25,10
591Z59LEyn,In-use,laptop,dell,SVPe8odA8o,dell-model,windows,m5HA4fzhij,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Y4gvwf2aP4,10,2024-06-25,10
bgDTVzhyXU,In-use,laptop,dell,dOcpv4rfqr,dell-model,windows,NcNPjRpfKe,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,a6VJwP1A0z,10,2024-06-25,10
2Gs2ImkOeY,In-use,laptop,dell,WL4nHsav8I,dell-model,windows,HbsulrJbnL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,qH4nTjLxwR,10,2024-06-25,10
3oAKf4jeQl,In-use,laptop,dell,fF8fGusZza,dell-model,windows,nJzPPBbLus,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,y8hCLRmHqc,10,2024-06-25,10
9vGXxHQesE,In-use,laptop,dell,zQZednk5fB,dell-model,windows,Ac7LDBAg7b,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,QafGf91RHI,10,2024-06-25,10
PK5SQjNjBn,In-use,laptop,dell,G3hvQ5ODFc,dell-model,windows,0LpmyJjtTg,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,0rOhBI1IOH,10,2024-06-25,10
AcaMvZRaKM,In-use,laptop,dell,8E3axZM0Ri,dell-model,windows,NCnNMLWp4L,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,kAZYjqzMuA,10,2024-06-25,10
EaUTiIJgRK,In-use,laptop,dell,93dJsAyIZ1,dell-model,windows,uoPpcsaOmD,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,nDwVcpOHxb,10,2024-06-25,10
TZkYne0Rms,In-use,laptop,dell,IP5F6xKKCN,dell-model,windows,6AULxoHtpV,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,JxAJLZrwPa,10,2024-06-25,10
6uJBeKtgmM,In-use,laptop,dell,EoRhRz48FR,dell-model,windows,CeKwnin21I,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ZQVWq2ntEn,10,2024-06-25,10
A1z4oCsDfe,In-use,laptop,dell,RwSWNr5cIR,dell-model,windows,HwhGm6d5xO,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,1FdloHrkAQ,10,2024-06-25,10
ZBjkH8sN6U,In-use,laptop,dell,dXAo77CqGb,dell-model,windows,KipBuhqirI,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Ghg3g0I3Z2,10,2024-06-25,10
TokB1b1mDs,In-use,laptop,dell,dh8EKknmwO,dell-model,windows,ms09fwBxTW,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,L20MpIgoyn,10,2024-06-25,10
gMgHJKkJAd,In-use,laptop,dell,CKQI6vtfqQ,dell-model,windows,6Qs7BcONqI,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,arFQuJBiNr,10,2024-06-25,10
wJV7Ks8tEG,In-use,laptop,dell,Gifs4RbknC,dell-model,windows,pPT7djwYS9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,NYqeqoDsvO,10,2024-06-25,10
aRxT4vH5GE,In-use,laptop,dell,0RA7Z46zoK,dell-model,windows,FFNeG5DUjL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ezUTr84X9L,10,2024-06-25,10
qopwM7yWDv,In-use,laptop,dell,JwrApYnZEp,dell-model,windows,KlVF9qOtsL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,knhcw4DEYP,10,2024-06-25,10
KQENudHYUb,In-use,laptop,dell,s6Nkdzvp0p,dell-model,windows,6BlNeZxqeu,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,3vHzgzrfPc,10,2024-06-25,10
IbKzE1ZDeX,In-use,laptop,dell,17vUpDi1lc,dell-model,windows,GACrAMvz5i,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,iPVLMgb1MO,10,2024-06-25,10
tvTsZ4tmV9,In-use,laptop,dell,ZaTHy25hVd,dell-model,windows,EG1oAkFUnK,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,d4EXYUweeb,10,2024-06-25,10
fHUmwpG55K,In-use,laptop,dell,iA1mhjbTLI,dell-model,windows,19hjbDACgM,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,sMl1kfPQGM,10,2024-06-25,10
E2W2BgMl77,In-use,laptop,dell,xlzbzgOWHf,dell-model,windows,Qf27me6GDz,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,l8tEZkrHm9,10,2024-06-25,10
OEjRG8F2hM,In-use,laptop,dell,P2UYd5RdYd,dell-model,windows,0BRHOX1Pjc,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,lGzwU7hcVm,10,2024-06-25,10
sMb8s6XyAr,In-use,laptop,dell,5xhAsNNkbj,dell-model,windows,5gCeKMJxSz,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wxWE9uYW9M,10,2024-06-25,10
nOd69QVAut,In-use,laptop,dell,7Gjl9IdkrP,dell-model,windows,2nDAObofZ0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yVjbOOOMKJ,10,2024-06-25,10
ncCDWlYnPu,In-use,laptop,dell,DXfL8ZumH6,dell-model,windows,JsXoubC2uK,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xM179fothu,10,2024-06-25,10
muOJaVbOmh,In-use,laptop,dell,Oztxrf10ZJ,dell-model,windows,92zYGFLsB0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,AJuXou4Hel,10,2024-06-25,10
RfFQpRXHiJ,In-use,laptop,dell,E3zlLvOkAf,dell-model,windows,J5NPtaXETV,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Ht62JtrgSv,10,2024-06-25,10
xqr4mt8IAC,In-use,laptop,dell,8Kcqn3tsE3,dell-model,windows,Fevx4TwSjr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,J6XZUqjxln,10,2024-06-25,10
PZoS5VLLul,In-use,laptop,dell,AJcFNiRa7O,dell-model,windows,y5yi0whnzZ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cd7H1tvnjW,10,2024-06-25,10
DBIrWeVzf2,In-use,laptop,dell,tvHHJKxfsY,dell-model,windows,pNJvO7UaGs,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,1m5GDZ7P3b,10,2024-06-25,10
bxyjVQ0xu4,In-use,laptop,dell,r9y1uBPIJB,dell-model,windows,XeBGUzjzA3,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ligVe9Ul5N,10,2024-06-25,10
WOyvSsAAee,In-use,laptop,dell,7FtVMyhs5Y,dell-model,windows,lDig681hhp,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,FlqnZLb1qr,10,2024-06-25,10
pKYO6MCuVZ,In-use,laptop,dell,Q6PkqM9uJ4,dell-model,windows,CmNC2YlIWU,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,fHRr5CVzeK,10,2024-06-25,10
Vsnp5GHmHU,In-use,laptop,dell,WXnfHnko9q,dell-model,windows,0P0falj3DH,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cKI2ZDC5y5,10,2024-06-25,10
pNBUxLLfJ2,In-use,laptop,dell,ounRmVqt7y,dell-model,windows,q3MfJ7Hyjr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,mVZEmhQi6i,10,2024-06-25,10
E0UwcmuK0Q,In-use,laptop,dell,SXe5ZJz30M,dell-model,windows,jgSZ650Lj5,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,kDXCdELVxl,10,2024-06-25,10
DNQnPcMcfi,In-use,laptop,dell,73cVFHUdaB,dell-model,windows,yyYN2is3U8,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rW3TUBaLI2,10,2024-06-25,10
FdLKfN47Hd,In-use,laptop,dell,KxBeSAmUE1,dell-model,windows,lzwMsVKDr0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Zrh7SCWRzY,10,2024-06-25,10
yOIdW9tpBY,In-use,laptop,dell,H5TCQgpNgu,dell-model,windows,vBevP5czFo,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,k6tVNl9205,10,2024-06-25,10
ZGXwvMUnu2,In-use,laptop,dell,yR10nll3AG,dell-model,windows,LVy3QsDI8m,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,1du82Nqqrz,10,2024-06-25,10
cwEqGNR8c8,In-use,laptop,dell,9yDcZmFI8W,dell-model,windows,oi5sR7IOIk,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,zhTLnOiWFK,10,2024-06-25,10
AUdgNRwNnf,In-use,laptop,dell,q2i3rc3d9r,dell-model,windows,4jAsBZbZv0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,myO7bP0xC0,10,2024-06-25,10
5jIwTHVVyT,In-use,laptop,dell,YVsx5PNVJL,dell-model,windows,OLc6V0RZJL,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Tgn8Ai1sEg,10,2024-06-25,10
0pL7WXTtxf,In-use,laptop,dell,AvaDOlXDlk,dell-model,windows,7Ga7htey44,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,8tM0WDrLQ8,10,2024-06-25,10
zYlvZq3Dlb,In-use,laptop,dell,o66XO97NTb,dell-model,windows,iKxI1vaQfU,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,aw5RdfGvdr,10,2024-06-25,10
f9jQpAdhte,In-use,laptop,dell,eVXjyZFADg,dell-model,windows,dhh6kB3mNa,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,DkFo9F5Sva,10,2024-06-25,10
jHGfBe2lxL,In-use,laptop,dell,RkEKQsQSfS,dell-model,windows,rbTWNhlmWm,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Hldx1mmVxW,10,2024-06-25,10
Xr8ZIX8Sme,In-use,laptop,dell,duQQoUbSoR,dell-model,windows,BzL5VAviC9,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,fSRtBsj2pr,10,2024-06-25,10
iYGJnoBcwn,In-use,laptop,dell,leTR34bCkH,dell-model,windows,cqXIYdyudr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wLXUIYeKhI,10,2024-06-25,10
AbccvZ8DFz,In-use,laptop,dell,9FDAfq2J6F,dell-model,windows,Ez85Ptyqah,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,GTIW9sbUJu,10,2024-06-25,10
gp4AE0RvoC,In-use,laptop,dell,7xSq2L1f3n,dell-model,windows,nNWl95WB4S,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,rz9fskyVO1,10,2024-06-25,10
dCkygHSFLi,In-use,laptop,dell,in71TUBg34,dell-model,windows,qMjvJdP4jw,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cHlbci7KUd,10,2024-06-25,10
80UFEyNgIz,In-use,laptop,dell,HjceoX44x5,dell-model,windows,BdjzTCGj11,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,UqPx0g2wxU,10,2024-06-25,10
rfONWYyR0B,In-use,laptop,dell,Y67HGjH5Jh,dell-model,windows,Cgjye6B4x1,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,U7ESEDDlkb,10,2024-06-25,10
J9ADLAIheL,In-use,laptop,dell,Hm8dLLXFEj,dell-model,windows,jZFayvynvu,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Knzruh5ivW,10,2024-06-25,10
9GHIb3NmS5,In-use,laptop,dell,9NFWI0PTr1,dell-model,windows,ZteC612MYX,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,QXxAMhtSh7,10,2024-06-25,10
sRICHhARQR,In-use,laptop,dell,RWF1AdrJaD,dell-model,windows,zo42G6J7tD,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,jv29qS846M,10,2024-06-25,10
m3d0VU0OeM,In-use,laptop,dell,Ug8uuhd9Bv,dell-model,windows,rFMjis4Neb,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,6l49a62qYU,10,2024-06-25,10
mDwG40wxKg,In-use,laptop,dell,ddslmgOSUv,dell-model,windows,faKF3k0QZb,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,leNz4kMgRD,10,2024-06-25,10
9dM9BgRhQ4,In-use,laptop,dell,wd9PHQfMEI,dell-model,windows,HikHASgwvf,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Vle0e9lCYq,10,2024-06-25,10
dFwQNVHGrj,In-use,laptop,dell,rHGaM4TfBC,dell-model,windows,T7bI0rB4GI,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,m6tXldIwJA,10,2024-06-25,10
d49dotjs8a,In-use,laptop,dell,AkeHWbsxCV,dell-model,windows,hd0pWk066e,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,bSkY366rll,10,2024-06-25,10
R0rG09DbCQ,In-use,laptop,dell,q2oFVAUNUZ,dell-model,windows,FsJUhiEHg4,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,6LPa5caUsb,10,2024-06-25,10
QAPgAStX6v,In-use,laptop,dell,oOxaCFW3Po,dell-model,windows,fxjMZwOWCO,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ITvx0b67s8,10,2024-06-25,10
bUYIbiaoit,In-use,laptop,dell,l1UcWlhYPo,dell-model,windows,AJBA7froOj,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,EwvtC3tfKo,10,2024-06-25,10
